dataset,emb_dir,pt_file,emb_size,project,testauc,testacc
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_1_final_dkt.pt,1536,titest___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_1_final_dkt.pt,1536,ptEmb_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_2_final_dkt.pt,3072,ptEmb_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_3_final_dkt.pt,1536,ptEmb_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_4_final_dkt.pt,3072,ptEmb_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_5_final_dkt.pt,1536,ptEmb_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_6_final_dkt.pt,3072,ptEmb_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_1_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_1_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_2_final_dkt.pt,3072,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_3_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_4_final_dkt.pt,3072,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_5_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_6_final_dkt.pt,3072,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_7_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_8_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_9_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_large,pipeline_1_final_dkt.pt,3072,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_large,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_1_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_2_final_dkt.pt,3072,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_3_final_dkt.pt,1536,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_4_final_dkt.pt,3072,ptEmb_projlayer___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_6_final_dkt.pt,3072,bottkneck_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_7_final_dkt.pt,1536,bottkneck_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_8_final_dkt.pt,1536,bottkneck_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2017,final_embeddings_assist2017_text_embedding_3_small,pipeline_9_final_dkt.pt,1536,bottkneck_tests___assist2017__final_embeddings_assist2017_text_embedding_3_small,NA NA,
assist2012,final_embeddings_assist2012_text_embedding_3_large,pipeline_1_final_dkt.pt,3072,PT_2012_tests__assist2012__final_embeddings_assist2012_text_embedding_3_large,NA NA,
assist2012,final_embeddings_assist2012_text_embedding_3_large,pipeline_1_final_dkt.pt,3072,PT_2012_grid4___assist2012__final_embeddings_assist2012_text_embedding_3_large,NA NA,
assist2012,final_embeddings_assist2012_text_embedding_3_large,pipeline_2_final_dkt.pt,6144,PT_2012_grid4___assist2012__final_embeddings_assist2012_text_embedding_3_large,NA NA,
assist2012,final_embeddings_assist2012_text_embedding_3_large,pipeline_3_final_dkt.pt,3072,PT_2012_grid4___assist2012__final_embeddings_assist2012_text_embedding_3_large,NA NA,
assist2012,final_embeddings_assist2012_text_embedding_3_large,pipeline_4_final_dkt.pt,6144,PT_2012_grid4___assist2012__final_embeddings_assist2012_text_embedding_3_large,NA NA,
assist2012,final_embeddings_assist2012_text_embedding_3_large,pipeline_5_final_dkt.pt,3072,PT_2012_grid4___assist2012__final_embeddings_assist2012_text_embedding_3_large,NA NA,
assist2012,final_embeddings_assist2012_text_embedding_3_large,pipeline_6_final_dkt.pt,6144,PT_2012_grid4___assist2012__final_embeddings_assist2012_text_embedding_3_large,NA NA,
