dataset,embedding_model,pipeline,prototype_method,metric,value,unit_of_analysis,n,source_artifact_path,evaluation_variant
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,recall_at_1,0.9325842696629212,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,recall_at_5,0.990555284155675,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,recall_at_10,0.9996743201432992,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,mrr,0.959831114081236,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,ndcg,0.9698879880078264,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,gold_kc_rank,1.1335287412473538,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,cosine_margin,0.2082372163982776,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,mean,control_shuffled_recall_at_1,0.0065135971340172,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,shuffled_prototype_control
assist2009,all_MiniLM_L12_v2,pipeline_1_original,median,recall_at_1,0.9130434782608696,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,median,recall_at_5,0.9877870053737176,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,median,recall_at_10,0.9900667643706236,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
assist2009,all_MiniLM_L12_v2,pipeline_1_original,median,mrr,0.9449520749440116,question,6141,pretrained_Embedding/final_embeddings_assist2009_all_MiniLM_L12_v2/pipeline_1_original.pkl,optimistic_includes_self
